pop3 start at 2021-04-19-10_28_27
connection from (127.0.0.1,58019) at 2021-04-19-10:28:33
smtp get 'user admin  ' at 2021-04-19-10:28:38 from (127.0.0.1, 58019)
smtp get 'pass admin    ' at 2021-04-19-10:28:41 from (127.0.0.1, 58019)
smtp get 'dele 2   ' at 2021-04-19-10:28:47 from (127.0.0.1, 58019)
smtp get 'dele 1   ' at 2021-04-19-10:28:49 from (127.0.0.1, 58019)
smtp get 'dele 4  ' at 2021-04-19-10:28:51 from (127.0.0.1, 58019)
smtp get 'list   ' at 2021-04-19-10:28:57 from (127.0.0.1, 58019)
smtp get 'rset    ' at 2021-04-19-10:28:59 from (127.0.0.1, 58019)
disconnection from (127.0.0.1,58019) at 2021-04-19-10:28:59
pop3 stop at 2021-04-19-10:30:38
